###
### This is the output from 'ipmctl show -sensor' to report 
### media specific heath and status sensor information.
###

# ipmctl show -sensor

 DimmID | Type                        | CurrentValue | CurrentState
 0x1001 | MediaTemperature            | 30C          | Normal
 0x1001 | ControllerTemperature       | 31C          | Normal
 0x1001 | PercentageRemaining         | 100%         | Normal
 0x1001 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1001 | PowerOnTime                 | 16916491s    | Normal
 0x1001 | UpTime                      | 3468182s     | Normal
 0x1001 | PowerCycles                 | 82           | Normal
 0x1001 | FwErrorCount                | 8            | Normal
 0x1001 | UnlatchedDirtyShutdownCount | 33           | Normal
 0x1011 | Health                      | Healthy      | Normal
 0x1011 | MediaTemperature            | 29C          | Normal
 0x1011 | ControllerTemperature       | 29C          | Normal
 0x1011 | PercentageRemaining         | 100%         | Normal
 0x1011 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1011 | PowerOnTime                 | 16916333s    | Normal
 0x1011 | UpTime                      | 3468184s     | Normal
 0x1011 | PowerCycles                 | 83           | Normal
 0x1011 | FwErrorCount                | 8            | Normal
 0x1011 | UnlatchedDirtyShutdownCount | 36           | Normal
 0x1021 | Health                      | Healthy      | Normal
 0x1021 | MediaTemperature            | 30C          | Normal
 0x1021 | ControllerTemperature       | 30C          | Normal
 0x1021 | PercentageRemaining         | 100%         | Normal
 0x1021 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1021 | PowerOnTime                 | 16916421s    | Normal
 0x1021 | UpTime                      | 3468165s     | Normal
 0x1021 | PowerCycles                 | 82           | Normal
 0x1021 | FwErrorCount                | 8            | Normal
 0x1021 | UnlatchedDirtyShutdownCount | 35           | Normal
 0x1101 | Health                      | Healthy      | Normal
 0x1101 | MediaTemperature            | 29C          | Normal
 0x1101 | ControllerTemperature       | 30C          | Normal
 0x1101 | PercentageRemaining         | 100%         | Normal
 0x1101 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1101 | PowerOnTime                 | 16916596s    | Normal
 0x1101 | UpTime                      | 3468184s     | Normal
 0x1101 | PowerCycles                 | 82           | Normal
 0x1101 | FwErrorCount                | 8            | Normal
 0x1101 | UnlatchedDirtyShutdownCount | 35           | Normal
 0x1111 | Health                      | Healthy      | Normal
 0x1111 | MediaTemperature            | 29C          | Normal
 0x1111 | ControllerTemperature       | 29C          | Normal
 0x1111 | PercentageRemaining         | 100%         | Normal
 0x1111 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1111 | PowerOnTime                 | 16917036s    | Normal
 0x1111 | UpTime                      | 3468185s     | Normal
 0x1111 | PowerCycles                 | 85           | Normal
 0x1111 | FwErrorCount                | 8            | Normal
 0x1111 | UnlatchedDirtyShutdownCount | 38           | Normal
 0x1121 | Health                      | Healthy      | Normal
 0x1121 | MediaTemperature            | 29C          | Normal
 0x1121 | ControllerTemperature       | 28C          | Normal
 0x1121 | PercentageRemaining         | 100%         | Normal
 0x1121 | LatchedDirtyShutdownCount   | 1            | Normal
 0x1121 | PowerOnTime                 | 16916634s    | Normal
 0x1121 | UpTime                      | 3468174s     | Normal
 0x1121 | PowerCycles                 | 82           | Normal
 0x1121 | FwErrorCount                | 8            | Normal
 0x1121 | UnlatchedDirtyShutdownCount | 35           | Normal
