###
### This is the output from 'ipmctl show -sensor' to report 
### media specific heath and status sensor information.
###

# ipmctl show -sensor

 DimmID | Type                        | CurrentValue | CurrentState
====================================================================
 0x0001 | Health                      | Healthy      | Normal
 0x0001 | MediaTemperature            | 28C          | Normal
 0x0001 | ControllerTemperature       | 30C          | Normal
 0x0001 | PercentageRemaining         | 100%         | Normal
 0x0001 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0001 | PowerOnTime                 | 16918434s    | Normal
 0x0001 | UpTime                      | 3468182s     | Normal
 0x0001 | PowerCycles                 | 156          | Normal
 0x0001 | FwErrorCount                | 8            | Normal
 0x0001 | UnlatchedDirtyShutdownCount | 107          | Normal
 0x0011 | Health                      | Healthy      | Normal
 0x0011 | MediaTemperature            | 29C          | Normal
 0x0011 | ControllerTemperature       | 30C          | Normal
 0x0011 | PercentageRemaining         | 100%         | Normal
 0x0011 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0011 | PowerOnTime                 | 16916401s    | Normal
 0x0011 | UpTime                      | 3468185s     | Normal
 0x0011 | PowerCycles                 | 80           | Normal
 0x0011 | FwErrorCount                | 8            | Normal
 0x0011 | UnlatchedDirtyShutdownCount | 33           | Normal
 0x0021 | Health                      | Healthy      | Normal
 0x0021 | MediaTemperature            | 29C          | Normal
 0x0021 | ControllerTemperature       | 30C          | Normal
 0x0021 | PercentageRemaining         | 100%         | Normal
 0x0021 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0021 | PowerOnTime                 | 16915846s    | Normal
 0x0021 | UpTime                      | 3468170s     | Normal
 0x0021 | PowerCycles                 | 81           | Normal
 0x0021 | FwErrorCount                | 8            | Normal
 0x0021 | UnlatchedDirtyShutdownCount | 34           | Normal
 0x0101 | Health                      | Healthy      | Normal
 0x0101 | MediaTemperature            | 29C          | Normal
 0x0101 | ControllerTemperature       | 30C          | Normal
 0x0101 | PercentageRemaining         | 100%         | Normal
 0x0101 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0101 | PowerOnTime                 | 16916198s    | Normal
 0x0101 | UpTime                      | 3468181s     | Normal
 0x0101 | PowerCycles                 | 81           | Normal
 0x0101 | FwErrorCount                | 8            | Normal
 0x0101 | UnlatchedDirtyShutdownCount | 34           | Normal
 0x0111 | Health                      | Healthy      | Normal
 0x0111 | MediaTemperature            | 27C          | Normal
 0x0111 | ControllerTemperature       | 31C          | Normal
 0x0111 | PercentageRemaining         | 100%         | Normal
 0x0111 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0111 | PowerOnTime                 | 16918383s    | Normal
 0x0111 | UpTime                      | 3468170s     | Normal
 0x0111 | PowerCycles                 | 156          | Normal
 0x0111 | FwErrorCount                | 8            | Normal
 0x0111 | UnlatchedDirtyShutdownCount | 107          | Normal
 0x0121 | Health                      | Healthy      | Normal
 0x0121 | MediaTemperature            | 26C          | Normal
 0x0121 | ControllerTemperature       | 29C          | Normal
 0x0121 | PercentageRemaining         | 100%         | Normal
 0x0121 | LatchedDirtyShutdownCount   | 1            | Normal
 0x0121 | PowerOnTime                 | 16916307s    | Normal
 0x0121 | UpTime                      | 3468186s     | Normal
 0x0121 | PowerCycles                 | 81           | Normal
 0x0121 | FwErrorCount                | 8            | Normal
 0x0121 | UnlatchedDirtyShutdownCount | 34           | Normal
 0x1001 | Health                      | Healthy      | Normal
